Which_Iphone,Extracted_Model,Price,Memory(GB),battery_percentage,State,Seller,City,Region,Model_Series,Model_Type
14,14 plus,276000,128,88,Новый,Частное лицо,Алматы,Алматинская область,14,plus
13,13,225000,128,100,Б/у,Бизнес,Уральск,Западно-Казахстанская область,13,
12,12 pro max,225000,128,98,Б/у,Бизнес,Темиртау,Карагандинская область,12,pro max
14,14 pro,200000,128,88,Б/у,Частное лицо,Семей,Восточно-Казахстанская область,14,pro
13,13 pro max,345000,256,87,Б/у,Частное лицо,Алматы,Алматинская область,13,pro max
14,14,210000,128,84,Б/у,Частное лицо,Талгар,Алматинская область,14,
12,12 pro,150000,128,84,Б/у,Бизнес,Алматы,Алматинская область,12,pro
13,13,210000,128,90,Б/у,Бизнес,Костанай,Костанайская область,13,
14,14,245000,128,90,Б/у,Частное лицо,Нуркен,Карагандинская область,14,
12,12 pro,170000,128,77,Б/у,Частное лицо,Жастар,Алматинская область,12,pro
15,15 pro,450000,256,100,Б/у,Бизнес,Турара Рыскулова,Туркестанская область,15,pro
14,14 pro max,370000,128,86,Б/у,Частное лицо,Шымкент,Туркестанская область,14,pro max
15,15 pro,460000,256,94,Б/у,Частное лицо,Сауран,Туркестанская область,15,pro
15,15 pro max,420000,256,94,Б/у,Частное лицо,Еркин,Алматинская область,15,pro max
13,13 pro max,250000,128,88,Б/у,Частное лицо,Актау,Мангистауская область,13,pro max
14,14 pro,300000,128,88,Б/у,Частное лицо,Кызылорда,Кызылординская область,14,pro
14,14 pro,330000,256,88,Б/у,Частное лицо,Балпык би,Алматинская область,14,pro
16,16,390000,128,99,Новый,Бизнес,Алматы,Алматинская область,16,
13,13 pro max,175000,256,89,Б/у,Частное лицо,Бектау,Акмолинская область,13,pro max
15,15 pro max,799000,128,100,Б/у,Частное лицо,Астана,Акмолинская область,15,pro max
14,14 pro,197000,128,88,Б/у,Частное лицо,Уральск,Западно-Казахстанская область,14,pro
14,14 pro,350000,128,88,Б/у,Частное лицо,Астана,Акмолинская область,14,pro
14,14 pro,335000,256,88,Б/у,Бизнес,Костанай,Костанайская область,14,pro
13,13,225000,128,100,Новый,Частное лицо,Шымкент,Туркестанская область,13,
13,13 pro max,250000,128,79,Б/у,Частное лицо,Караганда,Карагандинская область,13,pro max
13,13 mini,200000,256,88,Б/у,Бизнес,Актау,Мангистауская область,13,mini
13,13,350000,128,88,Б/у,Частное лицо,Алматы,Алматинская область,13,
13,13 pro max,570000,256,91,Новый,Частное лицо,Шымкент,Туркестанская область,13,pro max
12,12 pro max,350000,256,92,Б/у,Частное лицо,Шымкент,Туркестанская область,12,pro max
13,13 mini,150000,128,77,Б/у,Частное лицо,Акбулак,Карагандинская область,13,mini
14,14,200000,128,88,Б/у,Бизнес,Алматы,Алматинская область,14,
12,12 pro,170000,128,85,Б/у,Частное лицо,Кызылорда,Кызылординская область,12,pro
12,12 pro max,225000,128,86,Б/у,Бизнес,Атырау,Атырауская область,12,pro max
15,15,280000,128,99,Б/у,Бизнес,Макинск,Акмолинская область,15,
12,12 pro,200000,128,84,Б/у,Частное лицо,Атырау,Атырауская область,12,pro
14,14,200000,128,87,Б/у,Бизнес,Астана,Акмолинская область,14,
12,12 pro,145000,256,80,Б/у,Частное лицо,Алматы,Алматинская область,12,pro
15,15 pro max,490000,256,98,Б/у,Бизнес,Шымкент,Туркестанская область,15,pro max
13,13,170000,128,85,Б/у,Бизнес,Актау,Мангистауская область,13,
12,12 pro max,180000,128,80,Б/у,Частное лицо,Шымкент,Туркестанская область,12,pro max
13,13,210000,128,88,Б/у,Бизнес,Шымкент,Туркестанская область,13,
13,13 pro,300000,256,88,Б/у,Частное лицо,Петропавловск,Северо-Казахстанская область,13,pro
13,13 pro max,320000,256,99,Б/у,Частное лицо,Костанай,Костанайская область,13,pro max
15,15 pro,425000,128,94,Б/у,Бизнес,Темиртау,Карагандинская область,15,pro
13,13,300000,256,88,Б/у,Частное лицо,Кызылорда,Кызылординская область,13,
13,13,220000,128,99,Б/у,Бизнес,Алматы,Алматинская область,13,
12,12 pro max,180000,128,84,Б/у,Частное лицо,Уральск,Западно-Казахстанская область,12,pro max
16,16 pro max,650000,256,99,Новый,Частное лицо,Алматы,Алматинская область,16,pro max
14,14 pro,350000,256,86,Б/у,Бизнес,Петропавловск,Северо-Казахстанская область,14,pro
13,13 pro max,230000,512,88,Б/у,Частное лицо,Костанай,Костанайская область,13,pro max
14,14 pro,350000,256,88,Б/у,Частное лицо,Алматы,Алматинская область,14,pro
12,12 pro max,225000,128,84,Б/у,Бизнес,Темиртау,Карагандинская область,12,pro max
12,12,125000,128,81,Б/у,Частное лицо,Кайтпас,Туркестанская область,12,
13,13 pro,196000,256,88,Б/у,Частное лицо,Темиртау,Карагандинская область,13,pro
14,14 pro max,300000,256,90,Б/у,Бизнес,Шымкент,Туркестанская область,14,pro max
14,14,210000,128,86,Б/у,Бизнес,Астана,Акмолинская область,14,
14,14 pro max,360000,128,89,Б/у,Частное лицо,Атырау,Атырауская область,14,pro max
15,15,280000,128,94,Б/у,Бизнес,Павлодар,Павлодарская область,15,
15,15 pro max,530000,256,94,Б/у,Частное лицо,Актау,Мангистауская область,15,pro max
15,15 pro,400000,1024,94,Новый,Частное лицо,Костанай,Костанайская область,15,pro
13,13 pro,170000,128,88,Б/у,Частное лицо,Алматы,Алматинская область,13,pro
15,15 pro max,480000,256,87,Б/у,Частное лицо,Астана,Акмолинская область,15,pro max
14,14,220000,128,88,Б/у,Бизнес,Актау,Мангистауская область,14,
13,13 pro max,270000,128,83,Б/у,Частное лицо,Бектобе,Жамбылская область,13,pro max
15,15 pro,440000,128,100,Новый,Частное лицо,Алматы,Алматинская область,15,pro
13,13 pro,270000,128,88,Б/у,Частное лицо,Алматы,Алматинская область,13,pro
12,12 pro,160000,64,86,Б/у,Частное лицо,Сарань,Карагандинская область,12,pro
12,12 mini,220000,256,100,Б/у,Частное лицо,Алматы,Алматинская область,12,mini
15,15,300000,128,99,Новый,Частное лицо,Актобе,Актюбинская область,15,
13,13,220000,128,88,Б/у,Частное лицо,Сарыкемер,Жамбылская область,13,
12,12,140000,128,80,Б/у,Частное лицо,Кызылжар,Актюбинская область,12,
13,13 pro,310000,256,88,Б/у,Частное лицо,им.Жанкожа батыра,Кызылординская область,13,pro
13,13 pro,230000,256,86,Б/у,Частное лицо,Большой Чаган,Западно-Казахстанская область,13,pro
13,13 pro max,600000,128,88,Б/у,Частное лицо,Затобольск,Костанайская область,13,pro max
14,14,275000,256,88,Новый,Частное лицо,Астана,Акмолинская область,14,
